,name,speciality,vegan,vegetarian,lat,long
0,Le Valmy (brasserie),na,0,0,48.8922925,2.2316407
1,Garden Wok,chinese;japanese,0,0,48.8024899,2.0611199
2,Yes Sushi,japanese,0,0,48.7994542,2.0688939
3,Au Moulin Vert,na,0,0,48.8298344,2.3228877
4,Le Chateaudun,na,0,0,48.7962332,2.1362853
5,Pizzeria Palma d'Oro,na,0,0,48.8949681,2.2229796
6,Plancha & Grill,chinese,0,0,48.894638,2.2231811
7,Pizzeria Torino,na,0,0,48.8951397,2.2225402
8,La Terrasse du Parc,brasserie,0,0,48.8949813,2.2221176
9,Buffalo Grill,na,0,0,48.9004177,2.2243311
10,Le Severo,french,0,0,48.8319942,2.3245602
11,Le Sancerre (brasserie),na,0,0,48.896284,2.2250919
12,La Terrasse (brasserie),na,0,0,48.8965817,2.2241626
13,L'Arche,na,0,0,48.9007947,2.2319432
14,Délice Pizza,pizza,0,0,48.8000429,2.0723685
15,Bufallo Grill,na,0,0,49.0205075,2.4667473
16,Pavillon de l'aéro,na,0,0,48.805393,2.0745093
17,Avant Seine,na,0,0,48.8948889,2.2387542
18,Globe Trotter,na,0,0,48.8907062,2.242646
19,Soleil d'Or,na,0,0,48.8964233,2.2372254
20,Pizza Capri (et sa grotte),pizza,0,0,48.807296,2.1314178
21,Broadway Café,burger,0,0,48.8072172,2.1313704
22,Crêperie Saint-Louis,french,0,0,48.8071243,2.1313145
23,Pizzeria La Saveria,pizza;italian,0,0,48.7835466,2.1709701
24,Boldère,na,0,0,48.8907277,2.23561
25,Pizza Hut,pizza,0,0,48.8224232,2.2075203
26,Brasserie de l'Union,na,0,0,48.8965131,2.2183186
27,,na,0,0,48.8889041,2.2212129
28,La Colombe,asian,0,0,48.8894535,2.2209183
29,Brasserie La Grille de l'Orangerie,na,0,0,48.8006836,2.1201466
30,Quai 35,french,0,0,48.6173421,2.4772565
31,Uno,italian_pizza,0,0,48.8618492,2.3434997
32,La Crypte Polska,na,0,0,48.8672925,2.3255509
33,Mystery Cuisine,na,0,0,48.8659,2.337242
34,Chez Denise,na,0,0,48.8615254,2.3440287
